,title,rating,ratingDescription,releaseYear,userRatingScore,userRatingSize
209,Goosebumps,PG,60,2015,90,80
210,Kung Fu Panda 3,PG,60,2016,92,80
211,Open Season: Scared Silly,PG,60,2015,72,80
212,Alice Through the Looking Glass,PG,60,2016,96,80
213,Goldie & Bear,TV-Y,10,2016,77,80
214,Antz,PG,60,1998,80,80
215,Chicken Run,G,35,2000,80,80
216,Spy Kids 3: Game Over,PG,60,2003,64,80
217,Annie,PG,60,1982,68,80
218,Mulan 2,G,35,2004,85,80
219,Lilo & Stitch 2: Stitch Has A Glitch,PG,60,2005,85,80
220,DreamWorks Shrek's Swamp Stories,TV-PG,70,2008,56,80
221,The Magic School Bus,TV-Y,10,1997,81,80
222,Sofia the First,TV-Y,10,2015,82,80
223,Barbie Life in the Dreamhouse,TV-G,35,2012,85,80
224,Paddington,PG,60,2014,70,80
225,Minions,PG,60,2015,96,80
226,The Little Prince,PG,60,2015,71,80
227,Cool Runnings,PG,60,1993,81,80
228,Homeward Bound: The Incredible Journey,G,35,1993,96,80
229,Anastasia,G,35,1997,93,80
230,Missione Hamburger,PG,60,1997,75,80
231,Curious George,G,35,2006,55,80
232,Secret of the Wings,G,35,2012,65,80
233,Walt Disney Animation Studios Short Films Collection,TV-G,35,2015,84,80
234,Bunk'd,TV-G,35,2016,61,80
235,The BFG,PG,60,2016,97,80
236,The Real Ghostbusters,TV-Y7,41,1990,65,80
237,The Prince of Egypt,PG,60,1998,81,80
238,The Road to El Dorado,PG,60,2000,91,80
239,Pocahontas II: Journey to a New World,TV-G,35,1998,64,80
240,Fantasia,G,35,1940,61,80
241,An American Tail,G,35,1986,67,80
242,Balto,G,35,1995,64,80
243,Brother Bear 2,G,35,2006,57,80
244,Animaniacs,TV-Y7,41,1997,72,80
245,The Pirate Fairy,G,35,2014,57,80
246,FernGully: The Last Rainforest,G,35,1992,70,80
247,Harry and the Hendersons,PG,60,1987,58,80
248,Atlantis: The Lost Empire,PG,60,2001,96,80
249,Atlantis: Milo's Return,G,35,2003,79,80
250,Corpse Bride,PG,60,2005,91,80
251,Baby's Day Out,PG,60,1994,71,80
252,Blank Check,PG,60,1994,93,80
253,Heavyweights,PG,60,1995,74,80
254,D2: The Mighty Ducks,PG,60,1994,70,80
255,"Honey, I Shrunk the Kids",PG,60,1989,80,80
256,H2O: Just Add Water,TV-PG,70,2009,74,80
